id_eleccion,id_distrito,id_agrupacion,name_agrupacion,id_lista,name_lista,alianza
02,03,091,CORRIENTE DE PENSAMIENTO BONAERENSE,01,UNICA,4
03,02,022,CORRIENTE DE PENSAMIENTO BONAERENSE,01,CORRIENTE DE PENSAMIENTO AUTENTICA,4
03,03,091,CORRIENTE DE PENSAMIENTO BONAERENSE,01,UNICA,4
05,02,022,CORRIENTE DE PENSAMIENTO BONAERENSE,01,CORRIENTE DE PENSAMIENTO AUTENTICA,4
06,02,022,CORRIENTE DE PENSAMIENTO BONAERENSE,01,CORRIENTE DE PENSAMIENTO AUTENTICA,4
02,03,098,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01,(R)EVOLUCIONEMOS LA IZQUIERDA,4
02,03,098,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,02,UNIDAD DE LA IZQUIERDA,4
02,04,103,UNIÓN POPULAR FEDERAL,01,ESENCIA P. SALUD,4
02,04,103,UNIÓN POPULAR FEDERAL,02,FRATERNIDAD,4
02,04,103,UNIÓN POPULAR FEDERAL,03,LA LISTA DEL PUEBLO,4
02,04,103,UNIÓN POPULAR FEDERAL,04,REPUBLICANOS,4
02,04,103,UNIÓN POPULAR FEDERAL,05,SUMATE A + CÓRDOBA,4
02,04,103,UNIÓN POPULAR FEDERAL,06,VIVIENDA Y TRABAJO,4
02,04,104,MOVIMIENTO LIBRES DEL SUR,01,ESPACIO DE ACCIÓN COLECTIVA 40,4
02,04,105,DE LA CONCERTACIÓN FORJA,01,FORJANDO CÓRDOBA,4
02,04,106,DEMÓCRATA,01,RENOVACIÓN DEMÓCRATA,4
02,04,108,HUMANISTA,01,CÓRDOBA HUMANISTA,4
02,04,109,MOVIMIENTO AL SOCIALISMO,01,PARA RENOVAR A LA IZQUIERDA,4
02,04,110,POPULAR,01,POPULARES,4
02,04,111,LA LIBERTAD AVANZA,01,VIVA LA LIBERTAD CELESTE,4
02,04,114,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01,FORTALECER LA IZQUIERDA,4
02,04,114,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,02,OBRERA Y POPULAR,4
02,04,114,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,03,(R)EVOLUCIONEMOS LA IZQUIERDA,4
02,05,116,COMPROMISO FEDERAL,01,ACCION CORRENTINA,4
02,05,119,VAMOS CON VOS,01,ENCUENTRO SOCIAL AMPLIO,4
02,05,119,VAMOS CON VOS,02,LIBRES,4
02,07,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01,(R)EVOLUCIONEMOS LA IZQUIERDA,4
02,07,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,02,UNIDAD DE LA IZQUIERDA,4
02,11,151,SOCIALISTA,01,VAMOS CON VOS,4
02,11,152,MOVIMIENTO AL SOCIALISMO,01,PARA RENOVAR A LA IZQUIERDA,4
02,11,155,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01,(R)EVOLUCIONEMOS LA IZQUIERDA,4
02,11,155,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,02,UNIDAD DE LA IZQUIERDA,4
02,13,162,FEDERAL,01,UNICA,4
02,13,163,COMPROMISO FEDERAL,08,GESTA MENDOCINA,4
02,13,164,DIGNIDAD POPULAR,01,FRENTE PATRIOTA,4
02,13,165,VERDE,01,CIUDADANOS POR MENDOZA,4
02,13,168,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01,(R)EVOLUCIONEMOS LA IZQUIERDA,4
