id,codprov,coddepto,codprov_censo,coddepto_censo,nomdepto_censo
ARGENTINA, , , , , 
CABA,01,001,02,001,COMUNA 01
CABA,01,002,02,002,COMUNA 02
CABA,01,003,02,003,COMUNA 03
CABA,01,004,02,004,COMUNA 04
CABA,01,005,02,005,COMUNA 05
CABA,01,006,02,006,COMUNA 06
CABA,01,007,02,007,COMUNA 07
CABA,01,008,02,008,COMUNA 08
CABA,01,009,02,009,COMUNA 09
CABA,01,010,02,010,COMUNA 10
CABA,01,011,02,011,COMUNA 11
CABA,01,012,02,012,COMUNA 12
CABA,01,013,02,013,COMUNA 13
CABA,01,014,02,014,COMUNA 14
CABA,01,015,02,015,COMUNA 15
BUENOS AIRES,02,001,06,007,ADOLFO ALSINA
BUENOS AIRES,02,002,06,021,ALBERTI
BUENOS AIRES,02,003,06,028,ALMIRANTE BROWN
BUENOS AIRES,02,004,06,035,AVELLANEDA
BUENOS AIRES,02,005,06,042,AYACUCHO
BUENOS AIRES,02,006,06,049,AZUL
BUENOS AIRES,02,007,06,056,BAHIA BLANCA
BUENOS AIRES,02,008,06,063,BALCARCE
BUENOS AIRES,02,009,06,070,BARADERO
BUENOS AIRES,02,010,06,077,BARTOLOME MITRE
BUENOS AIRES,02,011,06,091,BERAZATEGUI
BUENOS AIRES,02,012,06,098,BERISSO
BUENOS AIRES,02,013,06,105,BOLIVAR
BUENOS AIRES,02,014,06,112,BRAGADO
BUENOS AIRES,02,015,06,119,BRANDSEN
BUENOS AIRES,02,016,06,126,CAMPANA
BUENOS AIRES,02,017,06,134,CAÑUELAS
BUENOS AIRES,02,018,06,140,CAPITAN SARMIENTO
BUENOS AIRES,02,019,06,147,CARLOS CASARES
BUENOS AIRES,02,020,06,154,CARLOS TEJEDOR
BUENOS AIRES,02,021,06,161,CARMEN DE ARECO
BUENOS AIRES,02,022,06,602,PATAGONES
BUENOS AIRES,02,023,06,168,CASTELLI
BUENOS AIRES,02,024,06,175,COLON
BUENOS AIRES,02,025,06,189,CORONEL DORREGO
BUENOS AIRES,02,026,06,196,CORONEL PRINGLES
BUENOS AIRES,02,027,06,182,CORONEL DE MARINA L. ROSALES
BUENOS AIRES,02,028,06,203,CORONEL SUAREZ
BUENOS AIRES,02,029,06,210,CHACABUCO
BUENOS AIRES,02,030,06,217,CHASCOMUS
BUENOS AIRES,02,031,06,224,CHIVILCOY
BUENOS AIRES,02,032,06,231,DAIREAUX
BUENOS AIRES,02,033,06,238,DOLORES
BUENOS AIRES,02,034,06,245,ENSENADA
BUENOS AIRES,02,035,06,252,ESCOBAR
BUENOS AIRES,02,036,06,260,ESTEBAN ECHEVERRIA
BUENOS AIRES,02,037,06,266,EXALTACION DE LA CRUZ
BUENOS AIRES,02,038,06,274,FLORENCIO VARELA
BUENOS AIRES,02,039,06,280,GENERAL ALVARADO
BUENOS AIRES,02,040,06,287,GENERAL ALVEAR
