id,year,id_distrito,name_prov,electores,BLANCOS,NULOS,votos_validos,FDT,porc_FDT,CAMBIEMOS,porc_CAMBIEMOS
caba_dip_paso_2017,2017,01,CABA,2555210,21333,21270,1890972,392083,21,1183484,63
catamarca_dip_paso_2017,2017,03,CATAMARCA,311027,11803,3111,175239,93096,53,66788,38
chaco_dip_paso_2017,2017,06,CHACO,912052,12635,14031,605534,308557,51,225754,37
chubut_dip_paso_2017,2017,07,CHUBUT,435577,7641,17287,301251,174447,58,75003,25
cordoba_dip_paso_2017,2017,04,CORDOBA,2885896,40998,58857,1939723,189710,10,854147,44
corrientes_dip_paso_2017,2017,05,CORRIENTES,845659,13400,16458,590457,271141,46,266826,45
erios_dip_paso_2017,2017,08,ENTRE RIOS,1078393,18330,37318,782379,321153,41,364376,47
formosa_dip_paso_2017,2017,09,FORMOSA,444456,6260,3602,303666,173296,57,108057,36
jujuy_dip_paso_2017,2017,10,JUJUY,537729,9283,10076,375951,160428,43,134342,36
mendoza_dip_paso_2017,2017,13,MENDOZA,1407811,42930,31256,1046179,350552,34,433351,41
misiones_dip_paso_2017,2017,14,MISIONES,897359,20224,10736,625541,257384,41,182401,29
neuquen_dip_paso_2017,2017,15,NEUQUEN,489526,4557,19785,380225,64336,17,89663,24
pampa_dip_paso_2017,2017,11,LA PAMPA,282816,3575,7575,197187,74389,38,95068,48
pba_dip_paso_2017,2017,02,BUENOS AIRES,12899310,520062,81641,8662876,4263048,49,3115837,36
rioja_dip_paso_2017,2017,12,LA RIOJA,281712,7730,4254,173567,76953,44,57292,33
rnegro_dip_paso_2017,2017,16,RIO NEGRO,537093,4668,13423,374458,149163,40,117217,31
salta_dip_paso_2017,2017,17,SALTA,993762,14927,16353,629187,109026,17,151955,24
santiago_dip_paso_2017,2017,22,SANTIAGO DEL ESTERO,736506,6794,6246,537037,413542,77,86513,16
scruz_dip_paso_2017,2017,20,SANTA CRUZ,249089,5409,8255,165316,47259,29,74532,45
sfe_dip_paso_2017,2017,21,SANTA FE,2721746,74303,101917,1838076,503999,27,490949,27
sjuan_dip_paso_2017,2017,18,SAN JUAN,555666,8990,9370,404666,223903,55,121088,30
sluis_dip_paso_2017,2017,19,SAN LUIS,377673,13161,5544,268200,102570,38,150918,56
tdf_dip_paso_2017,2017,24,TIERRA DEL FUEGO,133023,1038,5408,94290,35258,37,17535,19
tucuman_dip_paso_2017,2017,23,TUCUMAN,1217679,12530,16960,932510,484715,52,285589,31
caba_dip_paso_2019,2019,01,CABA,2542012,82817,0,1845815,599758,32,869710,47
catamarca_dip_paso_2019,2019,03,CATAMARCA,276699,16935,0,164622,103891,63,45918,28
chaco_dip_paso_2019,2019,06,CHACO,780150,30279,0,520162,331217,64,139290,27
chubut_dip_paso_2019,2019,07,CHUBUT,435240,38856,0,259964,123155,47,67482,26
cordoba_dip_paso_2019,2019,04,CORDOBA,2923871,89381,0,1950612,473905,24,839166,43
corrientes_dip_paso_2019,2019,05,CORRIENTES,863037,23597,0,563250,307014,55,210380,37
erios_dip_paso_2019,2019,08,ENTRE RIOS,1084395,61167,0,748018,356692,48,295603,40
formosa_dip_paso_2019,2019,09,FORMOSA,449018,17085,0,298573,203289,68,82935,25
jujuy_dip_paso_2019,2019,10,JUJUY,469985,36745,0,300071,157982,53,93914,31
mendoza_dip_paso_2019,2019,13,MENDOZA,1400526,78571,0,993846,428630,43,419380,42
misiones_dip_paso_2019,2019,14,MISIONES,906833,68802,0,573777,377786,66,167056,29
neuquen_dip_paso_2019,2019,15,NEUQUEN,493499,40873,0,337646,132648,39,88935,26
pampa_dip_paso_2019,2019,11,LA PAMPA,285582,11762,0,198838,105915,53,69724,35
pba_dip_paso_2019,2019,02,BUENOS AIRES,11837861,733523,0,8435453,4478075,53,2841073,34
rioja_dip_paso_2019,2019,12,LA RIOJA,278988,19642,0,163860,93562,57,59803,36
rnegro_dip_paso_2019,2019,16,RIO NEGRO,548508,54273,0,327730,168640,51,142193,43
salta_dip_paso_2019,2019,17,SALTA,986057,18788,0,612054,306401,50,140791,23
santiago_dip_paso_2019,2019,22,SANTIAGO DEL ESTERO,743392,26384,0,512823,410174,80,72020,14
scruz_dip_paso_2019,2019,20,SANTA CRUZ,246319,56706,0,114766,71011,62,30228,26
sfe_dip_paso_2019,2019,21,SANTA FE,2707473,48952,0,1895194,824834,44,646226,34
sjuan_dip_paso_2019,2019,18,SAN JUAN,553652,18099,0,403327,228841,57,128798,32
sluis_dip_paso_2019,2019,19,SAN LUIS,378976,25805,0,245535,118941,48,95349,39
tdf_dip_paso_2019,2019,24,TIERRA DEL FUEGO,117694,16272,0,77717,48355,62,14992,19
tucuman_dip_paso_2019,2019,23,TUCUMAN,1237844,68216,0,798007,491705,62,223167,28
